Código do Ente;Nome do Ente;Sigla UF;Valor do Nível Socioeconômico;Ponderador do NSE entre 0,95 e 1,05
1301852;Iranduba;AM;44,332312;1,016484
1301902;Itacoatiara;AM;41,286132;1,024376
1301951;Itamarati;AM;36,991404;1,035504
1302009;Itapiranga;AM;42,455441;1,021347
1302108;Japurá;AM;35,446066;1,039508
1302207;Juruá;AM;37,370323;1,034522
1302306;Jutaí;AM;38,064849;1,032723
1302405;Lábrea;AM;41,362530;1,024178
1302504;Manacapuru;AM;41,451569;1,023948
1302553;Manaquiri;AM;40,799105;1,025638
1302603;Manaus;AM;47,850814;1,007367
1302702;Manicoré;AM;39,384137;1,029305
1302801;Maraã;AM;36,492410;1,036797
1302900;Maués;AM;38,104528;1,032620
1303007;Nhamundá;AM;35,595938;1,039120
1303106;Nova Olinda do Norte;AM;36,831607;1,035918
1303205;Novo Airão;AM;42,161282;1,022109
1303304;Novo Aripuanã;AM;37,396083;1,034456
1303403;Parintins;AM;37,807957;1,033388
1303502;Pauini;AM;38,477789;1,031653
1303536;Presidente Figueiredo;AM;44,771821;1,015345
1303569;Rio Preto da Eva;AM;42,560669;1,021074
1303601;Santa Isabel do Rio Negro;AM;40,307317;1,026913
1303700;Santo Antônio do Içá;AM;32,923012;1,046046
1303809;São Gabriel da Cachoeira;AM;36,862930;1,035837
1303908;São Paulo de Olivença;AM;32,753952;1,046484
1303957;São Sebastião do Uatumã;AM;37,710549;1,033641
1304005;Silves;AM;38,289912;1,032140
1304062;Tabatinga;AM;36,924803;1,035677
1304104;Tapauá;AM;38,793113;1,030836
1304203;Tefé;AM;39,565726;1,028834
1304237;Tonantins;AM;35,351376;1,039754
1304260;Uarini;AM;35,053627;1,040525
1304302;Urucará;AM;40,112748;1,027417
1304401;Urucurituba;AM;38,460020;1,031699
1400027;Amajari;AM;41,513519;1,023787
1400050;Alto Alegre;AM;43,191842;1,019439
1400100;Boa Vista;AM;49,255140;1,003728
1400159;Bonfim;AM;42,150376;1,022137
1400175;Cantá;AM;43,233534;1,019331
1400209;Caracaraí;AM;45,014733;1,014715
1400233;Caroebe;AM;43,976738;1,017405
1400282;Iracema;AM;43,883451;1,017647
1400308;Mucajaí;AM;44,843041;1,015160
1400407;Normandia;AM;39,654706;1,028603
1400456;Pacaraima;AM;44,545326;1,015932
1400472;Rorainópolis;AM;45,868940;1,012502
1400506;São João da Baliza;AM;46,828638;1,010015
1400605;São Luiz;AM;44,542783;1,015938
1400704;Uiramutã;AM;38,813002;1,030784
1500107;Abaetetuba;AM;38,478134;1,031652
1500131;Abel Figueiredo;AM;41,995665;1,022538
1500206;Acará;AM;36,309126;1,037272
1500305;Afuá;AM;37,147466;1,035100
1500347;Água Azul do Norte;AM;43,735175;1,018031
1500404;Alenquer;AM;38,663135;1,031173
1500503;Almeirim;AM;42,203617;1,021999
1500602;Altamira;AM;46,186759;1,011679
1500701;Anajás;AM;33,601861;1,044287
1500800;Ananindeua;AM;44,697933;1,015536
1500859;Anapu;AM;41,446222;1,023962
1500909;Augusto Corrêa;AP;33,499931;1,044551
1500958;Aurora do Pará;AP;36,364946;1,037127
1501006;Aveiro;AP;39,997136;1,027716
1501105;Bagre;AP;34,072322;1,043068
1501204;Baião;AP;39,061048;1,030142
1501253;Bannach;AP;44,515196;1,016010
1501303;Barcarena;AP;43,235284;1,019326
1501402;Belém;AP;43,779924;1,017915
1501451;Belterra;AP;42,153284;1,022130
1501501;Benevides;AP;42,686871;1,020747
1501576;Bom Jesus do Tocantins;AP;42,623067;1,020912
1501600;Bonito;AP;38,105449;1,032618
1501709;Bragança;AP;36,813385;1,035965
1501725;Brasil Novo;AP;43,398895;1,018902
1501758;Brejo Grande do Araguaia;AP;41,556557;1,023676
1501782;Breu Branco;AP;41,454117;1,023941
1501808;Breves;AP;37,161188;1,035064
1501907;Bujaru;BA;34,598569;1,041704
1501956;Cachoeira do Piriá;BA;36,467023;1,036863
1502004;Cachoeira do Arari;BA;36,679391;1,036313
1502103;Cametá;BA;36,283284;1,037339
1502152;Canaã dos Carajás;BA;46,271949;1,011458
1502202;Capanema;BA;40,560772;1,026256
1502301;Capitão Poço;BA;37,298257;1,034709
1502400;Castanhal;BA;42,621960;1,020915
1502509;Chaves;BA;35,338884;1,039786
1502608;Colares;BA;38,038412;1,032791
1502707;Conceição do Araguaia;BA;43,585303;1,018419
1502756;Concórdia do Pará;BA;36,341132;1,037189
1502764;Cumaru do Norte;BA;44,598991;1,015793
1502772;Curionópolis;BA;44,036886;1,017249
1502806;Curralinho;BA;32,118989;1,048129
1502855;Curuá;BA;37,599457;1,033929
1502905;Curuçá;BA;39,275588;1,029586
1502939;Dom Eliseu;BA;43,317474;1,019113
1502954;Eldorado do Carajás;BA;42,126535;1,022199
1503002;Faro;BA;39,348718;1,029396
1503044;Floresta do Araguaia;BA;42,288691;1,021779
1503077;Garrafão do Norte;BA;36,740364;1,036155
1503093;Goianésia do Pará;BA;42,455450;1,021347
1503101;Gurupá;BA;37,638967;1,033826
1503200;Igarapé-Açu;BA;38,855771;1,030674
1503309;Igarapé-Miri;BA;36,523548;1,036716
1503408;Inhangapi;BA;39,319076;1,029473
1503457;Ipixuna do Pará;BA;37,085108;1,035261
1503507;Irituia;BA;37,022822;1,035423
1503606;Itaituba;BA;45,666420;1,013027
1503705;Itupiranga;BA;41,851077;1,022913
1503754;Jacareacanga;BA;42,357710;1,021600
1503804;Jacundá;BA;41,430247;1,024003
1503903;Juruti;BA;38,157886;1,032482
1504000;Limoeiro do Ajuru;BA;33,726614;1,043963
1504059;Mãe do Rio;BA;40,561859;1,026253
1504109;Magalhães Barata;BA;39,103972;1,030030
1504208;Marabá;BA;43,731628;1,018040
1504307;Maracanã;BA;37,405628;1,034431
1504406;Marapanim;BA;39,727567;1,028415
1504422;Marituba;BA;43,398744;1,018903
1504455;Medicilândia;BA;42,573141;1,021042
1504505;Melgaço;BA;32,287048;1,047693
1504604;Mocajuba;BA;37,963898;1,032984
1504703;Moju;BA;36,928048;1,035668
1504752;Mojuí dos Campos;BA;41,350411;1,024210
1504802;Monte Alegre;BA;38,704058;1,031067
1504901;Muaná;BA;35,336196;1,039793
1504950;Nova Esperança do Piriá;BA;36,150194;1,037684
1504976;Nova Ipixuna;BA;41,815635;1,023004
1505007;Nova Timboteua;BA;40,586824;1,026188
1505031;Novo Progresso;BA;48,617719;1,005380
1505064;Novo Repartimento;BA;41,813320;1,023010
1505106;Óbidos;BA;39,770475;1,028304
1505205;Oeiras do Pará;BA;32,993727;1,045862
1505304;Oriximiná;BA;39,774353;1,028293
1505403;Ourém;BA;38,547272;1,031473
1505437;Ourilândia do Norte;BA;44,740654;1,015426
1505486;Pacajá;BA;42,005824;1,022512
